crop,region,soil_type,season,year,avg_temperature,avg_rainfall,humidity,sunlight_hours,soil_ph,nitrogen_content,phosphorus_content,potassium_content,organic_matter,farm_area_ha,irrigation_type,fertilizer_kg_ha,pesticide_l_ha,yield_per_ha,total_yield_tons
Wheat,Central,Sandy,Kharif,2022,20.58,45.34,66.85,8.74,7.24,127.45,71.42,116.4,1.08,11.48,Sprinkler,288.91,8.62,0.68,7.77
Tomato,Central,Peat,Zaid,2020,30.06,126.49,67.54,4.7,6.73,211.81,28.18,230.86,2.73,0.92,Rainfed,105.05,6.83,14.61,13.48
Potato,Central,Silt,Kharif,2022,24.87,85.51,69.62,10.6,6.54,303.4,49.6,116.76,4.45,8.48,Rainfed,214.61,8.51,11.81,100.18
Cotton,South,Loamy,Zaid,2022,34.51,143.22,81.85,9.58,7.54,285.58,62.69,89.65,4.46,10.77,Sprinkler,57.31,8.26,1.19,12.78
Cotton,West,Clay,Zaid,2019,34.65,37.53,80.9,10.66,7.02,101.92,30.09,204.23,4.92,5.5,Sprinkler,114.95,6.34,0.5,2.75
Cotton,East,Loamy,Zaid,2016,18.46,171.34,45.35,10.09,7.12,388.9,33.93,208.16,4.69,1.04,Sprinkler,284.31,6.88,1.56,1.62
Maize,South,Silt,Zaid,2017,33.59,26.97,69.11,6.77,7.36,113.72,71.01,293.37,4.86,7.42,Sprinkler,82.52,7.58,0.67,5.01
Rice,West,Silt,Rabi,2023,16.79,22.24,56.18,7.91,7.81,304.99,41.21,118.41,4.99,3.28,Rainfed,162.85,1.64,0.5,1.64
Potato,North,Sandy,Rabi,2021,16.83,28.6,74.02,9.24,6.32,385.26,20.57,158.08,4.75,3.22,Drip,209.63,3.98,4.38,14.11
Potato,West,Clay,Rabi,2019,30.67,433.38,60.47,11.15,6.19,163.93,12.18,212.92,2.16,10.49,Rainfed,168.3,9.68,6.46,67.72
Potato,Central,Peat,Zaid,2018,27.74,167.37,82.24,10.09,7.38,139.37,12.28,280.21,3.27,8.46,Rainfed,170.38,1.17,13.22,111.84
Soybean,East,Silt,Rabi,2015,28.65,135.7,61.52,5.6,6.97,119.26,50.74,117.25,4.09,2.36,Rainfed,163.81,0.12,0.8,1.89
Sugarcane,West,Sandy,Rabi,2017,21.38,111.63,54.58,9.56,8.08,333.96,12.77,170.13,0.97,1.89,Drip,296.67,1.42,48.81,92.04
Potato,Central,Peat,Zaid,2015,5.61,116.27,75.12,8.48,5.53,197.94,46.24,71.97,2.08,0.67,Drip,69.64,3.97,7.23,4.84
Potato,South,Silt,Kharif,2015,39.38,181.24,50.01,5.34,5.81,290.93,59.45,57.9,4.71,0.77,Flood,185.32,7.09,15.05,11.54
Potato,East,Sandy,Rabi,2020,30.13,145.21,80.09,6.72,7.94,124.03,72.64,186.9,4.18,3.51,Flood,210.89,5.26,15.25,53.52
Potato,East,Silt,Rabi,2016,19.79,225.4,50.96,11.81,6.51,154.64,65.28,214.68,2.74,4.55,Rainfed,229.8,2.28,16.96,77.23
Wheat,Central,Clay,Rabi,2018,21.13,388.06,72.52,5.6,7.54,121.66,12.15,114.42,2.58,10.64,Drip,231.79,7.43,1.05,11.18
Wheat,North,Sandy,Kharif,2015,15.19,459.41,42.01,10.94,7.24,231.58,60.77,171.67,4.43,12.05,Sprinkler,155.43,2.77,1.37,16.47
Soybean,South,Silt,Zaid,2016,13.29,263.46,50.53,8.98,7.39,319.93,19.21,228.96,4.59,1.49,Sprinkler,109.39,9.71,1.51,2.26
Tomato,East,Loamy,Kharif,2024,24.8,48.4,83.54,7.56,7.04,207.77,51.51,90.88,2.26,17.94,Drip,114.53,6.57,7.26,130.19
Maize,East,Clay,Zaid,2015,34.38,168.49,46.54,11.76,6.86,170.82,15.14,92.44,2.84,2.55,Flood,257.22,4.31,2.22,5.66
Potato,West,Sandy,Kharif,2024,37.01,38.28,48.38,4.29,7.71,299.14,43.22,261.04,4.13,4.9,Sprinkler,267.07,2.06,4.14,20.3
Rice,East,Peat,Kharif,2024,31.8,51.44,42.85,8.25,8.31,111.8,18.55,163.05,4.7,2.4,Drip,176.81,0.42,0.61,1.47
Sugarcane,Central,Silt,Zaid,2020,32.33,80.65,65.78,7.91,7.5,141.9,12.1,126.98,3.67,1.63,Drip,218.36,9.7,17.12,27.85
Sugarcane,North,Silt,Rabi,2016,27.77,131.66,62.19,10.95,6.03,307.79,68.67,286.15,3.57,3.94,Rainfed,204.46,8.69,45.19,177.94
Sugarcane,West,Sandy,Rabi,2017,33.84,44.29,72.94,7.15,7.45,131.98,56.05,299.85,0.72,19.4,Flood,151.73,8.71,16.29,316.03
Tomato,West,Silt,Zaid,2024,34.5,103.71,76.92,11.03,6.71,198.11,56.73,251.96,3.93,8.49,Flood,158.9,8.18,14.57,123.75
Sugarcane,South,Clay,Rabi,2022,23.62,59.24,58.32,7.17,7.59,216.57,41.41,109.39,2.18,1.79,Sprinkler,68.3,6.03,20.34,36.39
Tomato,Central,Peat,Zaid,2021,25.12,116.62,63.17,7.04,8.09,255.72,43.54,56.41,2.04,2.89,Flood,149.71,5.8,14.06,40.66
Wheat,West,Loamy,Kharif,2022,36.07,187.66,75.91,11.64,5.55,158.73,10.53,211.87,4.54,1.9,Sprinkler,281.76,0.6,2.34,4.43
Sugarcane,East,Loamy,Rabi,2024,29.51,63.33,45.07,7.89,6.27,185.46,31.51,250.76,2.93,2.36,Flood,202.58,7.16,22.9,54.15
Wheat,Central,Sandy,Kharif,2018,17.14,39.99,74.06,5.45,7.08,312.71,17.48,191.83,1.65,16.97,Rainfed,170.89,8.06,0.6,10.22
Tomato,Central,Sandy,Zaid,2022,23.2,24.44,71.66,11.61,7.3,345.76,71.89,107.02,1.45,5.22,Rainfed,152.76,8.4,3.88,20.27
Tomato,North,Clay,Rabi,2018,15.05,171.65,53.74,10.58,6.77,300.26,16.69,205.96,2.53,4.92,Rainfed,92.0,7.37,20.74,101.96
Soybean,East,Peat,Rabi,2022,19.46,44.43,44.79,4.19,7.43,282.13,48.27,107.99,2.26,5.01,Flood,174.19,9.88,0.5,2.51
Potato,Central,Loamy,Rabi,2022,18.57,75.9,75.88,9.54,8.47,138.52,17.29,231.08,3.1,2.1,Flood,69.85,0.86,7.66,16.09
Cotton,East,Sandy,Kharif,2018,38.11,41.3,56.17,5.81,6.56,120.83,46.33,66.9,4.1,1.83,Flood,185.0,8.8,0.5,0.92
Rice,Central,Sandy,Kharif,2018,9.05,60.5,73.47,11.95,7.49,267.34,61.15,166.3,0.77,4.63,Rainfed,289.41,1.75,0.83,3.84
Cotton,Central,Peat,Zaid,2019,27.99,42.43,66.79,4.77,6.85,326.85,34.33,216.23,4.08,13.6,Drip,108.66,3.99,0.55,7.5
Soybean,East,Sandy,Rabi,2017,34.7,93.6,71.18,4.71,7.77,138.31,67.82,245.51,3.69,0.68,Flood,125.78,2.63,0.95,0.65
Wheat,Central,Sandy,Rabi,2015,26.13,29.17,86.85,8.43,6.42,219.09,41.3,200.15,2.82,13.09,Drip,174.24,9.92,0.81,10.55
Cotton,South,Silt,Kharif,2015,25.65,67.9,83.9,10.94,7.92,337.01,31.33,70.23,2.31,1.45,Flood,223.74,3.46,0.77,1.12
Tomato,West,Silt,Rabi,2017,24.21,122.44,81.12,5.06,8.09,376.83,44.09,201.56,3.94,1.46,Drip,175.64,3.99,21.75,31.78
Cotton,West,Clay,Kharif,2021,20.12,22.62,46.76,11.7,7.15,389.75,40.27,127.95,2.78,3.39,Rainfed,76.42,6.41,0.5,1.7
Rice,Central,Clay,Kharif,2017,23.5,116.65,72.51,5.22,5.68,334.23,42.19,64.54,4.98,0.8,Flood,223.76,9.84,2.25,1.8
Rice,South,Clay,Zaid,2021,20.09,137.82,43.11,8.08,8.49,344.19,53.07,126.56,3.31,4.24,Sprinkler,156.52,1.31,3.26,13.83
Potato,West,Silt,Rabi,2024,22.58,79.74,49.73,6.94,6.74,348.26,61.35,242.33,0.55,3.19,Rainfed,170.34,0.19,9.16,29.23
Cotton,Central,Peat,Kharif,2024,20.63,96.64,50.76,4.1,6.22,392.76,66.11,289.89,2.7,1.08,Drip,186.99,4.54,1.51,1.64
Soybean,South,Loamy,Zaid,2016,28.13,30.32,64.41,5.2,6.47,321.21,43.32,143.97,2.28,3.58,Sprinkler,246.25,8.92,0.59,2.11
Soybean,South,Peat,Kharif,2017,19.65,136.52,61.88,6.04,8.02,111.53,73.12,165.37,3.37,5.88,Drip,273.78,6.37,1.5,8.81
Potato,West,Peat,Rabi,2019,33.32,26.9,65.92,5.2,7.71,253.67,57.62,60.42,0.88,6.8,Drip,68.02,0.71,2.5,17.0
Soybean,East,Loamy,Zaid,2022,14.22,63.03,78.73,9.29,6.06,152.23,16.89,215.08,3.94,2.04,Drip,55.24,0.82,0.83,1.69
Soybean,East,Peat,Zaid,2018,17.23,55.02,78.46,9.0,6.65,161.71,18.5,203.75,3.99,5.66,Rainfed,182.58,0.42,0.53,3.03
Rice,Central,Sandy,Zaid,2017,19.85,411.05,70.09,8.66,7.74,343.53,55.95,82.02,2.02,13.66,Flood,106.15,3.72,1.71,23.4
Maize,North,Clay,Kharif,2019,32.42,77.88,70.65,11.54,6.22,136.45,23.82,271.73,3.41,2.18,Flood,253.99,8.61,2.25,4.92
Tomato,North,Silt,Zaid,2019,23.66,160.67,63.03,10.74,7.69,332.93,55.93,94.36,2.95,21.39,Rainfed,284.35,0.43,17.9,382.82
Cotton,Central,Peat,Rabi,2022,27.26,34.13,76.3,10.54,6.14,251.76,68.85,233.2,2.94,4.96,Drip,177.09,2.98,0.51,2.54
Wheat,West,Loamy,Zaid,2019,31.03,121.14,78.06,5.28,6.88,102.8,27.27,231.62,4.96,1.02,Drip,150.37,8.0,1.89,1.93
Rice,South,Peat,Zaid,2015,28.05,100.99,76.65,8.93,6.06,206.62,64.87,188.56,0.52,7.66,Flood,58.83,7.46,2.03,15.52
Wheat,South,Silt,Zaid,2022,24.03,59.59,47.44,6.44,8.13,398.9,35.78,162.15,3.75,11.37,Flood,198.26,3.92,1.11,12.63
Maize,Central,Silt,Zaid,2022,28.36,138.95,40.16,8.96,6.57,338.26,16.51,197.05,2.66,5.64,Drip,66.21,5.8,5.77,32.55
Tomato,East,Silt,Rabi,2020,41.49,132.85,80.25,6.16,7.98,249.48,15.39,64.64,2.0,8.18,Drip,226.92,7.89,12.07,98.74
Maize,East,Silt,Zaid,2022,34.67,78.02,47.37,6.63,6.8,126.58,25.44,199.56,3.81,32.53,Flood,283.28,6.43,1.54,49.97
Potato,Central,Clay,Rabi,2016,34.77,32.59,60.5,10.72,6.65,271.56,51.14,96.12,2.13,2.54,Flood,56.55,0.24,3.96,10.06
Cotton,East,Clay,Rabi,2023,29.66,51.89,65.9,6.39,8.32,177.79,40.08,268.18,4.29,1.53,Drip,250.66,4.58,0.6,0.91
Tomato,West,Clay,Kharif,2023,24.78,77.42,76.48,10.12,5.98,283.07,19.47,237.84,3.46,16.19,Flood,67.24,0.57,13.65,221.04
Tomato,West,Clay,Kharif,2019,39.18,50.34,52.35,11.25,6.25,181.58,63.16,162.43,4.0,0.84,Sprinkler,171.89,0.34,5.47,4.59
Cotton,West,Silt,Kharif,2015,5.61,62.67,84.99,4.17,7.49,389.02,49.21,284.21,0.74,3.21,Sprinkler,115.04,7.31,0.58,1.86
Maize,East,Peat,Kharif,2023,32.07,49.64,72.71,5.58,7.2,239.18,78.04,202.13,2.07,1.11,Rainfed,87.81,2.25,1.08,1.19
Rice,South,Clay,Rabi,2016,26.6,94.11,45.74,10.88,7.67,120.3,59.55,185.88,0.87,3.57,Sprinkler,171.17,1.66,1.96,6.98
Tomato,East,Peat,Zaid,2019,34.19,209.7,73.45,7.7,6.74,295.29,48.18,65.57,2.81,8.71,Rainfed,164.81,0.52,16.66,145.13
Tomato,West,Sandy,Rabi,2023,19.83,38.0,56.51,10.05,7.06,161.46,71.45,269.9,4.42,1.86,Sprinkler,162.81,9.85,7.65,14.27
Potato,South,Peat,Zaid,2017,18.61,22.75,43.26,7.71,8.23,261.61,44.85,76.37,3.46,9.13,Drip,145.11,7.76,2.86,26.16
Cotton,West,Loamy,Zaid,2019,25.91,53.85,79.64,8.62,7.4,339.37,37.72,278.77,2.9,1.36,Drip,223.97,7.93,0.73,0.99
Cotton,East,Peat,Zaid,2022,13.49,214.62,85.31,6.22,8.45,142.21,24.14,96.06,4.52,5.81,Sprinkler,88.03,4.4,0.72,4.18
Tomato,Central,Silt,Rabi,2020,25.19,361.51,60.89,11.87,7.5,290.4,21.62,270.48,2.42,1.39,Rainfed,53.15,5.6,14.68,20.33
Tomato,East,Sandy,Zaid,2018,36.3,147.07,84.51,4.64,7.69,156.22,70.07,254.77,2.93,6.69,Rainfed,128.59,4.71,16.92,113.25
Soybean,West,Clay,Rabi,2022,8.03,88.16,81.41,6.68,6.02,313.6,67.82,75.16,1.58,1.27,Rainfed,136.99,4.5,0.73,0.92
Potato,South,Silt,Kharif,2017,20.14,125.31,71.05,6.82,8.02,241.39,78.54,208.54,1.07,6.14,Flood,131.28,6.86,13.92,85.42
Rice,West,Clay,Zaid,2022,27.27,45.77,81.85,6.23,7.43,308.25,45.89,126.33,1.46,0.67,Drip,125.99,6.53,1.38,0.92
Maize,West,Sandy,Kharif,2022,22.93,224.95,78.3,10.31,7.49,178.09,73.5,217.68,3.02,1.09,Flood,161.76,4.6,4.7,5.11
Sugarcane,Central,Silt,Zaid,2016,7.62,396.36,45.54,7.38,5.63,321.97,74.27,120.01,4.36,2.23,Flood,277.69,7.54,27.62,61.55
Potato,East,Silt,Zaid,2015,31.78,21.82,88.14,9.81,6.41,348.82,29.71,268.19,1.01,6.58,Drip,185.17,0.97,3.45,22.71
Soybean,East,Sandy,Zaid,2016,24.84,55.85,69.92,6.38,6.4,322.96,13.37,275.72,4.34,6.01,Rainfed,198.31,8.92,0.67,4.0
Rice,North,Silt,Kharif,2019,22.57,28.23,51.98,10.36,5.6,274.84,79.68,263.92,2.85,0.83,Drip,257.84,5.99,0.69,0.57
